id,left,top,right,bottom,speed,dir,Nov8Fire,Nov9Fire,Nov9Pred,elevation,band1,band2,band3,band4,burnable
67,-121.7827596,39.70175335,-121.7802596,39.69925335,1,0,0,0,0,0,4127.715805,3734.500456,3455.556839,3614.06003,0
68,-121.7827596,39.69925335,-121.7802596,39.69675335,1,0,0,0,0,0,4805.681611,4444.265957,4093.865198,3490.031003,0
69,-121.7827596,39.69675335,-121.7802596,39.69425335,1,0,0,0,0,0,3788.842707,3348.652632,3002.810226,3882.950677,0
70,-121.7827596,39.69425335,-121.7802596,39.69175335,1,0,0,0,0,0,4000.851672,3506.627508,3173.895745,3677.693617,0
71,-121.7827596,39.69175335,-121.7802596,39.68925335,1,0,0,0,0,0,3788.842707,3348.652632,3002.810226,3882.950677,0
72,-121.7827596,39.68925335,-121.7802596,39.68675335,1,0,0,0,0,0,3830.237842,3385.98769,2971.157295,3877.096201,0
73,-121.7827596,39.68675335,-121.7802596,39.68425335,1,0,0,0,0,0,3964.082827,3630.67386,3359.594681,4012.118237,0
74,-121.7827596,39.68425335,-121.7802596,39.68175335,1,0,0,0,0,0,3830.237842,3385.98769,2971.157295,3877.096201,0
75,-121.7827596,39.68175335,-121.7802596,39.67925335,1,0,0,0,0,0,3800.07538,3412.149848,2802.647416,3669.833435,0
76,-121.7827596,39.67925335,-121.7802596,39.67675335,1,0,0,0,0,0,3720.929939,3237.158511,2710.67538,3558.23845,0
77,-121.7827596,39.67675335,-121.7802596,39.67425335,1,0,0,0,0,0,3800.07538,3412.149848,2802.647416,3669.833435,0
78,-121.7827596,39.67425335,-121.7802596,39.67175335,1,0,0,0,0,0,3863.990426,3445.579483,3059.794377,3847.582067,0
79,-121.7827596,39.67175335,-121.7802596,39.66925335,1,0,0,0,0,0,3793.896505,3353.356839,2881.45152,3721.86307,0
80,-121.7827596,39.66925335,-121.7802596,39.66675335,1,0,0,0,0,0,3863.990426,3445.579483,3059.794377,3847.582067,0
81,-121.7827596,39.66675335,-121.7802596,39.66425335,1,0,0,0,0,0,4084.081763,3686.313374,3306.241185,4335.681763,0
82,-121.7827596,39.66425335,-121.7802596,39.66175335,1,0,0,0,0,0,4302.395897,4104.936018,4075.090122,4620.467629,1
83,-121.7827596,39.66175335,-121.7802596,39.65925335,1,0,0,0,0,0,4084.081763,3686.313374,3306.241185,4335.681763,0
84,-121.7827596,39.65925335,-121.7802596,39.65675335,1,0,0,0,0,0,3658.341641,3071.844073,2329.167933,4042.934195,0
85,-121.7827596,39.65675335,-121.7802596,39.65425335,1,0,0,0,0,0,3767.68693,3217.678267,2662.810182,3695.345137,0
86,-121.7827596,39.65425335,-121.7802596,39.65175335,1,0,0,0,0,0,3658.341641,3071.844073,2329.167933,4042.934195,0
