id,band1_norm,band2_norm,band3_norm,band4_norm
16355,0.41203347,0.31108234,0.210086243,0.439493536
16356,0.429177302,0.322004005,0.220348544,0.443683366
16357,0.433824237,0.321431768,0.204583647,0.481441091
16358,0.454872664,0.339383335,0.218085238,0.476483699
16359,0.449523606,0.332879178,0.206763449,0.51359388
16360,0.454872664,0.339383335,0.218085238,0.476483699
16361,0.456486854,0.333566903,0.201019766,0.532948582
16362,0.453860196,0.332598407,0.20004365,0.525741974
16363,0.456486854,0.333566903,0.201019766,0.532948582
16364,0.470109363,0.344698514,0.224191366,0.485401254
16365,0.47128564,0.355851702,0.229568892,0.527487683
16366,0.470109363,0.344698514,0.224191366,0.485401254
16367,0.476880894,0.363155426,0.223933899,0.598042835
16368,0.476526214,0.359858531,0.227201143,0.595637774
16369,0.476880894,0.363155426,0.223933899,0.598042835
16370,0.477979863,0.361716612,0.229029276,0.540454538
16371,0.483448735,0.366592266,0.23718013,0.55003201
16372,0.477979863,0.361716612,0.229029276,0.540454538
16373,0.474880994,0.341595227,0.220470766,0.423231757
16374,0.460073815,0.32103986,0.194303435,0.394876454
16375,0.474880994,0.341595227,0.220470766,0.423231757
16376,0.506781803,0.378763113,0.266601438,0.550385379
16377,0.496660276,0.378673511,0.239387847,0.716046376
16378,0.506781803,0.378763113,0.266601438,0.550385379
16379,0.473175303,0.325633613,0.200837074,0.417156283
16380,0.536465554,0.407768129,0.306783252,0.362139727
16381,0.473175303,0.325633613,0.200837074,0.417156283
16382,0.458626437,0.30260378,0.177169211,0.315083648
16383,0.511863582,0.386010513,0.28424924,0.475595638
16384,0.506405951,0.381284091,0.267818286,0.477408355
16385,0.511863582,0.386010513,0.28424924,0.475595638
16386,0.525285543,0.412824889,0.288430156,0.644767594
16387,0.542039862,0.432582521,0.315981294,0.659341687
16388,0.525285543,0.412824889,0.288430156,0.644767594
16389,0.497703002,0.349058447,0.233709781,0.401567165
16390,0.58064967,0.45526296,0.347689981,0.42299754
16391,0.497703002,0.349058447,0.233709781,0.401567165
16392,0.486671196,0.324497576,0.210062391,0.270414356
16393,0.602720416,0.495261178,0.366095517,0.374242749
16394,0.486671196,0.324497576,0.210062391,0.270414356
16395,0.45047852,0.282304672,0.173035742,0.17223492
16396,0.482611869,0.329131326,0.229898917,0.264630522
16397,0.45047852,0.282304672,0.173035742,0.17223492
16398,0.561250571,0.430706551,0.36182238,0.366658147
16399,0.610073385,0.483483476,0.418248127,0.400350803
16400,0.561250571,0.430706551,0.36182238,0.366658147
16401,0.486718172,0.342271531,0.228419427,0.401763506
16402,0.507895269,0.378711123,0.276940729,0.460782629
16403,0.486718172,0.342271531,0.228419427,0.401763506
