,0,
275,0.23013115,0
276,0.20053446,0
277,0.17848706,0
278,0.28865033,0
279,0.40211424,0
280,0.48929784,0
281,0.58192396,1
282,0.63082457,1
283,0.45243666,0
284,0.17795867,0
285,0.16707051,0
286,0.12953782,0
287,0.24937555,0
288,0.16878033,0
289,0.27345043,0
290,0.17769417,0
291,0.32855463,0
292,0.6947154,1
293,0.44383556,0
294,0.25693554,0
295,0.17820904,0
296,0.20501903,0
297,0.46587035,0
298,0.48977128,0
299,0.5059659,1
300,0.27445197,0
301,0.6660261,1
302,0.2719687,0
303,0.0634011,0
304,0.05220461,0
305,0.23347777,0
306,0.07574847,0
307,0.05655849,0
308,0.20210078,0
309,0.1058414,0
310,0.08592126,0
311,0.059057713,0
312,0.1252231,0
313,0.32320073,0
314,0.3517354,0
315,0.16787997,0
316,0.14042914,0
317,0.11724371,0
318,0.21742362,0
319,0.15737545,0
320,0.062195927,0
321,0.3159895,0
322,0.4785041,0
323,0.2105523,0
324,0.11114672,0
325,0.08277726,0
326,0.06452045,0
327,0.06408769,0
328,0.059574395,0
329,0.06451231,0
330,0.3854834,0
331,0.39250398,0
332,0.18615767,0
333,0.23437989,0
334,0.24982175,0
335,0.24516627,0
336,0.15968436,0
337,0.18958205,0
338,0.20350483,0
339,0.21003759,0
340,0.5713581,1
341,0.44790152,0
342,0.27000928,0
343,0.2874455,0
344,0.17313516,0
345,0.22592813,0
346,0.2150169,0
347,0.533062,1
348,0.51880425,1
349,0.46524426,0
350,0.29300904,0
351,0.4363022,0
352,0.33034545,0
353,0.54382896,1
354,0.37928283,0
355,0.5672453,1
356,0.48291534,0
357,0.3429076,0
358,0.2993126,0
359,0.49638617,0
360,0.39872813,0
361,0.40915048,0
362,0.6567893,1
363,0.6494846,1
364,0.6256002,1
365,0.5454296,1
366,0.5829419,1
367,0.42496467,0
368,0.5430513,1
369,0.27557167,0
370,0.43388298,0
371,0.04857692,0
372,0.06195426,0
373,0.2353087,0
374,0.18233421,0
375,0.026697814,0
376,0.10182184,0
377,0.30068097,0
378,0.5060608,1
379,0.454323,0
380,0.43833014,0
381,0.22181946,0
382,0.2495937,0
383,0.40305138,0
384,0.27409068,0
385,0.3583062,0
386,0.20127559,0
387,0.2665906,0
388,0.21639091,0
389,0.47070712,0
390,0.6079461,1
391,0.6496174,1
392,0.580868,1
393,0.6963787,1
394,0.23906624,0
395,0.08168167,0
396,0.28402933,0
397,0.22027731,0
398,0.19212466,0
399,0.18392348,0
400,0.115075946,0
401,0.2534582,0
402,0.26106897,0
403,0.081264585,0
404,0.062315345,0
405,0.07198882,0
406,0.13161331,0
407,0.13451067,0
408,0.090292215,0
409,0.22857285,0
410,0.29097503,0
411,0.4519934,0
412,0.6632198,1
413,0.47002074,0
414,0.09796691,0
415,0.1301688,0
416,0.18226701,0
417,0.2611778,0
418,0.13619533,0
419,0.24409175,0
420,0.22817108,0
421,0.081167966,0
